episode_id,condition,block,reward,outcome,elapsed_sec,input_tokens,output_tokens,cache_read_tokens,tool_uses,assistant_turns,prefix_chars,prompt_sha256
ep_000000,reset,0,0,timeout_failed,600,56093,57285,256384,10,21,0,5aa5627489fc
ep_000001,reset,1,0,timeout_failed,600,50088,57282,241920,9,19,0,2bdb2e6ffc8a
